R,G,B,Label,Confidence
0.6588235294117647,0.8274509803921568,0.9529411764705882,blue,good
0.1450980392156863,0.12549019607843134,0.1568627450980392,black,perfect
0.13725490196078433,0.13333333333333333,0.14901960784313725,black,perfect
0.30980392156862746,0.2901960784313726,0.6235294117647059,purple,good
0.21568627450980396,0.3882352941176471,0.13333333333333333,green,perfect
0.4980392156862745,0.4980392156862745,0.4627450980392157,grey,perfect
0.5176470588235295,0.6078431372549019,0.4941176470588236,green,good
0.7764705882352941,0.611764705882353,0.7764705882352941,purple,good
0.6470588235294118,0.6509803921568628,0.7490196078431373,grey,poor
0.4627450980392157,0.5254901960784314,0.9529411764705882,blue,perfect
0.6549019607843137,0.3803921568627451,0.4235294117647059,pink,poor
0.1843137254901961,0.4235294117647059,0.28627450980392155,green,good
0.007843137254901959,0.007843137254901959,0.011764705882352941,black,perfect
0.5098039215686274,0.5058823529411764,0.807843137254902,red,poor
0.05098039215686274,0.4313725490196079,0.9490196078431372,blue,poor
0.2,0.05882352941176471,0.09411764705882353,black,perfect
0.8470588235294118,0.4666666666666667,0.7137254901960784,purple,good
0.5843137254901961,0.5647058823529412,0.5882352941176471,grey,perfect
0.8627450980392157,0.5686274509803921,0.10196078431372547,brown,good
0.3333333333333333,0.9686274509803922,0.9882352941176472,blue,poor
0.3607843137254902,0.6078431372549019,0.9372549019607844,blue,good
0.1450980392156863,0.17647058823529413,0.16862745098039214,black,perfect
0.3450980392156863,0.09411764705882353,0.17254901960784313,brown,good
0.043137254901960784,0.9215686274509804,0.8196078431372549,green,poor
0.0392156862745098,0.8352941176470589,0.10588235294117647,green,good
0.8745098039215686,0.792156862745098,0.9019607843137256,purple,poor
0.8901960784313725,0.1607843137254902,0.34901960784313724,red,good
0.2352941176470588,0.20392156862745095,0.13725490196078433,black,perfect
0.5019607843137255,0.9450980392156862,0.207843137254902,green,poor
0.4901960784313725,0.2627450980392157,0.06666666666666668,brown,perfect
0.9882352941176472,0.9803921568627452,0.9607843137254902,pink,poor
0.611764705882353,0.6941176470588235,0.6705882352941176,grey,perfect
0.1450980392156863,0.4862745098039216,0.2352941176470588,green,perfect
0.5333333333333333,0.9607843137254902,0.8313725490196079,blue,poor
0.3647058823529412,0.407843137254902,0.6078431372549019,green,poor
0.8588235294117647,0.8392156862745098,0.8313725490196079,grey,perfect
0.007843137254901959,0.0392156862745098,0.07058823529411765,black,perfect
0.054901960784313725,0.14901960784313725,0.031372549019607836,green,poor
0.611764705882353,0.7607843137254902,0.1607843137254902,green,good
0.8117647058823529,0.33725490196078434,0.9725490196078432,purple,good
0.8862745098039215,0.6313725490196078,0.3176470588235294,orange,good
0.09411764705882353,0.5215686274509804,0.13725490196078433,green,perfect
0.21568627450980396,0.20392156862745095,0.23137254901960785,black,good
0.4196078431372549,0.4784313725490196,0.6392156862745098,blue,poor
0.6823529411764706,0.8117647058823529,0.5294117647058824,green,good
0.8549019607843137,0.807843137254902,0.8627450980392157,grey,poor
0.7686274509803922,1.0,0.5215686274509804,green,perfect
0.2,0.5254901960784314,0.7490196078431373,blue,perfect
0.2823529411764706,0.20392156862745095,0.415686274509804,purple,perfect
0.9019607843137256,0.5568627450980392,0.6431372549019608,pink,good
0.16862745098039214,0.12941176470588234,0.3333333333333333,purple,perfect
0.9647058823529412,0.9725490196078432,0.9490196078431372,white,poor
0.6274509803921569,0.6431372549019608,0.6549019607843137,grey,perfect
0.4549019607843137,0.6588235294117647,0.9490196078431372,blue,perfect
0.5843137254901961,0.6666666666666666,0.16862745098039214,green,perfect
0.6980392156862745,0.8470588235294118,0.9411764705882352,blue,perfect
0.9058823529411764,0.9098039215686274,0.9058823529411764,grey,perfect
0.21568627450980396,0.18823529411764706,0.2,black,perfect
0.4823529411764706,0.4627450980392157,0.8313725490196079,red,poor
0.6784313725490196,0.3411764705882353,0.9529411764705882,purple,good
0.7607843137254902,0.6941176470588235,0.1176470588235294,red,poor
0.5843137254901961,0.8666666666666667,0.14901960784313725,green,good
0.3686274509803922,0.3882352941176471,0.592156862745098,blue,poor
0.3450980392156863,0.3411764705882353,0.32941176470588235,black,good
0.615686274509804,0.5019607843137255,0.5254901960784314,brown,poor
0.2,0.21568627450980396,0.2,black,perfect
0.047058823529411764,0.011764705882352941,0.1568627450980392,black,perfect
0.6823529411764706,0.8784313725490196,0.4901960784313725,green,good
0.9019607843137256,0.7607843137254902,0.7725490196078432,pink,good
0.9529411764705882,0.6235294117647059,0.2235294117647059,orange,perfect
0.043137254901960784,0.031372549019607836,0.031372549019607836,black,perfect
0.8274509803921568,0.6392156862745098,0.7803921568627451,pink,perfect
0.09803921568627452,0.023529411764705882,0.05882352941176471,black,perfect
0.015686274509803918,0.023529411764705882,0.0039215686274509795,black,perfect
0.1803921568627451,0.18823529411764706,0.08627450980392158,black,perfect
0.1411764705882353,0.1411764705882353,0.1411764705882353,black,perfect
0.7607843137254902,0.7607843137254902,0.7607843137254902,grey,perfect
0.5019607843137255,0.5137254901960784,0.3803921568627451,green,poor
0.23137254901960785,0.9843137254901959,0.4470588235294118,green,perfect
0.9411764705882352,0.6235294117647059,0.27450980392156865,orange,perfect
0.5215686274509804,0.5882352941176471,0.5803921568627451,grey,good
0.5450980392156862,0.035294117647058816,0.992156862745098,purple,perfect
0.07058823529411765,0.06274509803921569,0.06666666666666668,black,perfect
0.9725490196078432,0.7568627450980392,0.9803921568627452,pink,perfect
